,rank,skillRating,reputationlevel,bestDivision,wins,ties,losses,gamesPlayed,goals,goalsAgainst,cleanSheets,goalsPerGame,goalsAgainstPerGame,gamesPlayedPlayoff,reputationtier,bestFinishGroup,clubName,clubId,currentDivision,clubInfo,platform
0,1,2543,9,1,320,23,18,361,1420,424,131,3.93,1.17,20,3,2,Old Champions,3084976,1,"{'name': 'Old Champions', 'clubId': 3084976, 'regionId': 5064001, 'teamId': 18, 'customKit': {'stadName': 'Municipal de Ipurua', 'kitId': '147457', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160311'}}",common-gen4
1,2,2493,9,1,465,89,138,692,1796,827,236,2.60,1.20,20,3,2,M R G L H,13791,1,"{'name': 'M R G L H', 'clubId': 13791, 'regionId': 4281683, 'teamId': 115201, 'customKit': {'stadName': 'Emirates Stadium', 'kitId': '943726592', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99160502'}}",common-gen4
2,3,2475,9,1,481,33,37,551,2095,611,203,3.80,1.11,20,3,3,A 4 7,16046,1,"{'name': 'A 4 7', 'clubId': 16046, 'regionId': 5064001, 'teamId': 166, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '1359875', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160620'}}",common-gen4
3,4,2468,8,1,237,2,9,248,1185,280,94,4.78,1.13,20,2,1,S U P E R,13541,3,"{'name': 'S U P E R', 'clubId': 13541, 'regionId': 5064001, 'teamId': 111462, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '913096705', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7627', 'customAwayKitId': '7627', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '592397', 'kitColor2': '15921906', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '15245824', 'kitAColor3': '15921906', 'kitAColor4': '15245824', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160115'}}",common-gen4
4,5,2459,8,1,243,10,5,258,912,162,142,3.53,0.63,20,2,1,Pin x Black,2613056,1,"{'name': 'Pin x Black', 'clubId': 2613056, 'regionId': 4539733, 'teamId': 110953, 'customKit': {'stadName': 'BRASILIA', 'kitId': '908926977', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7517', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '13883203', 'kitColor2': '1256053', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161121'}}",common-gen4
5,6,2432,6,1,119,6,10,135,460,123,71,3.41,0.91,9,1,2,M A S T E R S,3830521,1,"{'name': 'M A S T E R S', 'clubId': 3830521, 'regionId': 5064001, 'teamId': 605, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '4956160', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160722'}}",common-gen4
6,7,2427,8,1,171,0,0,171,780,103,108,4.56,0.60,20,2,1,Smøkin Aces,3302026,3,"{'name': 'Smøkin Aces', 'clubId': 3302026, 'regionId': 4344147, 'teamId': 112134, 'customKit': {'stadName': 'The Aces Arena', 'kitId': '918601729', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160127'}}",common-gen4
7,8,2407,9,1,334,14,16,364,1377,278,193,3.78,0.76,20,3,1,International,2256236,1,"{'name': 'International', 'clubId': 2256236, 'regionId': 4539733, 'teamId': 234, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '1916928', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160118'}}",common-gen4
8,9,2384,9,1,638,65,55,758,2616,721,316,3.45,0.95,20,3,1,S K Y,17186,2,"{'name': 'S K Y', 'clubId': 17186, 'regionId': 5064001, 'teamId': 1335, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '10936320', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7629', 'customAwayKitId': '7704', 'customThirdKitId': '7551', 'customKeeperKitId': '5032', 'kitColor1': '13979995', 'kitColor2': '11319490', 'kitColor3': '592397', 'kitColor4': '11319490', 'kitAColor1': '14655653', 'kitAColor2': '1841428', 'kitAColor3': '592397', 'kitAColor4': '1841428', 'kitThrdColor1': '12762028', 'kitThrdColor2': '592397', 'kitThrdColor3': '15921906', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99130501'}}",common-gen4
9,10,2345,8,1,298,31,29,358,1208,364,140,3.37,1.02,20,2,2,S  P  U  R  S,662486,2,"{'name': 'S  P  U  R  S', 'clubId': 662486, 'regionId': 5064001, 'teamId': 65, 'customKit': {'stadName': 'Estadio San Mamés', 'kitId': '532483', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160625'}}",common-gen4
